"","state_names","Freq"
"1","alabama",8
"2","arizona",17
"3","arkansas",6
"4","california",83
"5","colorado",14
"6","connecticut",11
"7","delaware",3
"8","district of columbia",48
"9","florida",39
"10","georgia",29
"11","idaho",3
"12","illinois",38
"13","indiana",12
"14","iowa",17
"15","kansas",83
"16","kentucky",9
"17","louisiana",5
"18","maine",7
"19","maryland",29
"20","massachusetts",28
"21","michigan",20
"22","minnesota",29
"23","mississippi",2
"24","missouri",19
"25","montana",2
"26","nebraska",10
"27","nevada",25
"28","new hampshire",5
"29","new jersey",22
"30","new mexico",5
"31","new york",30
"32","north carolina",23
"33","ohio",31
"34","oklahoma",17
"35","oregon",8
"36","pennsylvania",38
"37","rhode island",3
"38","south carolina",9
"39","south dakota",5
"40","tennessee",16
"41","texas",59
"42","utah",13
"43","vermont",1
"44","virginia",23
"45","washington",9
"46","west virginia",1
"47","wisconsin",23
"48","wyoming",4
